geoid,countyfp,pop20,areakm,popdens,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,pollvoter_dens,job_dens,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag
6001400100,1.0,3041.0,6.94584,437.81584,0.969,0.96335,0.97322,0.9672,0.88141,0.80091,0.8571,0.80052,0.81389,0.74001,0.80486,0.85283,0.86783,0.86978,0.81931,0.69348,0.00123,0.00139,0.02784,1.0,0.97494,0.0,0.06341,1.0,0.03553,0.0,0.04229,1.0,0.12624,0.0,0.03415,0.0,0.03819,0.0,1e-05,1.0,0.74149,0.0,7e-05,1.0,2e-05,1.0,1e-05,1.0,0.03054,0.0,0.00414,1.0,0.00014,1.0,0.02092,1.0,0.04182,0.0,0.0001,1.0,0.01218,1.0,0.00887,1.0,0.00972,1.0,0.00227,0.0,1.0
6001400200,1.0,2002.0,0.58656,3413.1305,0.96956,0.98319,0.97313,0.93909,0.87353,0.89515,0.89296,0.82164,0.7083,0.66488,0.65453,0.78955,0.86416,0.79068,0.87322,0.70955,0.0008,0.00163,0.04611,1.0,0.95394,0.0,0.03949,1.0,0.06368,0.0,0.03636,1.0,0.08519,0.0,0.02591,1.0,0.08667,0.0,0.00199,1.0,0.735,0.0,0.00299,1.0,1e-05,1.0,0.0,1.0,0.03737,0.0,0.01045,1.0,0.02042,1.0,0.0,1.0,0.02791,1.0,0.01444,1.0,0.00299,1.0,0.01096,1.0,0.00648,1.0,0.00146,0.0,1.0
6001400300,1.0,5505.0,1.11084,4955.72415,0.97098,0.94281,0.97341,0.96429,0.87545,0.85602,0.8983,0.7837,0.71497,0.66272,0.79921,0.77136,0.84076,0.85736,0.86808,0.67658,0.00187,0.00306,0.06658,1.0,0.84736,0.0,0.0658,1.0,0.05635,0.0,0.04055,1.0,0.11714,0.0,0.09082,0.0,0.06964,0.0,0.0,1.0,0.67924,0.0,0.01963,1.0,0.00297,1.0,0.0,1.0,0.01436,1.0,0.00324,1.0,0.02312,1.0,0.0519,1.0,0.03409,0.0,0.00674,1.0,0.0087,1.0,0.00934,1.0,3e-05,1.0,0.00378,0.0,1.0
6001400400,1.0,4118.0,0.71614,5750.29137,0.96484,0.9336,0.97724,0.95932,0.88023,0.91908,0.90169,0.80092,0.68885,0.66943,0.78821,0.68316,0.8512,0.82021,0.84755,0.76478,0.00176,0.00151,0.02521,1.0,0.90443,0.0,0.06201,1.0,0.10089,0.0,0.04103,1.0,0.10572,0.0,0.06571,0.0,0.11992,0.0,0.00858,1.0,0.63865,0.0,0.01485,1.0,0.0,1.0,0.0,1.0,0.07776,1.0,0.00711,1.0,0.00078,1.0,0.02373,0.0,0.02712,0.0,0.00997,1.0,0.00797,1.0,0.0127,1.0,0.00448,1.0,0.00289,0.0,1.0
6001400500,1.0,3659.0,0.59142,6186.76152,0.95416,0.92473,0.97933,0.95331,0.83463,0.81291,0.84244,0.77324,0.64353,0.63833,0.71747,0.60105,0.78693,0.82325,0.8254,0.6652,0.002,0.00051,0.0321,1.0,0.8838,0.0,0.06327,0.0,0.12275,0.0,0.12571,1.0,0.10805,0.0,0.21328,0.0,0.09481,0.0,2e-05,1.0,0.45536,0.0,0.01501,1.0,0.00733,1.0,0.0,1.0,0.05264,0.0,0.00317,1.0,0.01666,1.0,0.03424,0.0,0.0228,1.0,0.00387,1.0,0.00878,1.0,0.0133,1.0,0.0046,1.0,0.00298,0.07125,0.0
6001400600,1.0,1793.0,0.29786,6019.66961,0.94384,0.95048,0.96429,0.89557,0.80911,0.81377,0.8118,0.78838,0.61558,0.5916,0.80894,0.49968,0.76596,0.73239,0.83983,0.57767,0.00113,0.00031,0.03491,1.0,0.93165,0.0,0.07121,0.0,0.09513,0.0,0.12206,1.0,0.09685,0.0,0.20516,0.0,0.07507,0.0,0.00172,1.0,0.49284,0.0,0.00917,1.0,0.0,1.0,0.0,1.0,0.05272,0.0,0.0,1.0,0.01318,1.0,0.01146,1.0,0.03266,0.0,0.05215,1.0,0.00344,1.0,0.0063,1.0,0.0,1.0,0.00136,0.03142,0.0
6001400700,1.0,4527.0,0.86575,5228.97065,0.94262,0.94487,0.96494,0.89803,0.82743,0.8771,0.89492,0.78513,0.61338,0.60283,0.67866,0.48701,0.75002,0.7633,0.70369,0.62627,0.00307,0.00115,0.09471,1.0,0.85678,0.0,0.09481,0.0,0.08641,0.0,0.05451,1.0,0.06435,0.0,0.28176,0.0,0.19353,0.0,3e-05,1.0,0.38366,0.0,0.03805,1.0,0.00772,1.0,0.0,1.0,0.09768,1.0,0.0045,1.0,0.04357,0.0,0.00936,1.0,0.03174,0.0,0.01103,1.0,0.0038,1.0,0.00232,1.0,9e-05,1.0,0.0036,0.05599,0.0
6001400800,1.0,3928.0,0.72582,5411.81429,0.93223,0.94871,0.89753,0.90094,0.79651,0.72895,0.83104,0.64931,0.61003,0.52585,0.66184,0.52011,0.73661,0.75129,0.71238,0.60282,0.00275,0.00158,0.10971,1.0,0.86848,0.0,0.04243,1.0,0.10849,0.0,0.05328,1.0,0.14776,0.0,0.23596,0.0,0.11046,1.0,0.00233,1.0,0.43185,0.0,0.0011,1.0,0.00116,1.0,0.00982,1.0,0.07406,1.0,0.01256,1.0,0.00582,1.0,0.01174,1.0,0.06326,0.0,0.02154,1.0,0.00322,1.0,0.03283,1.0,0.00973,1.0,0.00297,0.08896,0.0
6001400900,1.0,2520.0,0.40773,6180.5353,0.94611,0.9357,0.93978,0.88263,0.8084,0.81683,0.73648,0.75784,0.60795,0.55835,0.70018,0.44545,0.74556,0.78516,0.75444,0.59133,0.00144,0.00056,0.09334,1.0,0.87423,0.0,0.07388,1.0,0.14414,0.0,0.06969,1.0,0.04173,1.0,0.2876,0.0,0.1581,1.0,0.02453,1.0,0.41609,0.0,0.01528,1.0,0.06234,1.0,0.0,1.0,0.0781,1.0,0.00015,1.0,0.00221,1.0,0.00615,1.0,0.00036,1.0,0.01982,1.0,0.0001,1.0,0.00025,1.0,0.00848,1.0,0.00163,0.0,1.0
6001401000,1.0,6118.0,1.149,5324.6182,0.93369,0.91436,0.94067,0.93368,0.77079,0.77399,0.8439,0.6953,0.62582,0.64746,0.6963,0.51511,0.68556,0.73467,0.69565,0.58189,0.00426,0.00532,0.10773,1.0,0.76609,0.0,0.10696,0.0,0.18375,0.0,0.1033,1.0,0.0676,0.0,0.30287,0.0,0.18693,0.0,0.0,1.0,0.33503,0.0,0.03991,1.0,0.00261,1.0,0.0,1.0,0.1178,0.0,7e-05,1.0,0.00816,1.0,0.01726,1.0,0.03622,1.0,0.00377,1.0,2e-05,1.0,0.00299,1.0,0.00247,1.0,0.00455,0.04046,0.0
6001401100,1.0,4976.0,0.87333,5697.72462,0.9377,0.8898,0.9619,0.90316,0.80558,0.81548,0.81521,0.75624,0.63613,0.59774,0.67514,0.55633,0.77143,0.78575,0.74735,0.59713,0.00321,0.00295,0.10311,1.0,0.6867,0.0,0.04428,1.0,0.12339,0.0,0.0807,1.0,0.19802,0.0,0.07745,0.0,0.10754,0.0,0.0,1.0,0.52394,0.0,0.02776,1.0,0.00303,1.0,0.0,1.0,0.04059,1.0,0.02029,1.0,0.01143,1.0,0.059,1.0,0.04432,1.0,0.0091,1.0,0.00536,1.0,0.01913,1.0,0.00793,1.0,0.00317,0.0,1.0
