provider,lat,lon,num_stops_per_week,score
AC TRANSIT,37.74282,-122.24747,95.0,1.0
AC TRANSIT,37.50205,-121.97491,81.0,1.0
AC TRANSIT,37.82431,-122.20913,166.0,1.0
AC TRANSIT,37.75079,-122.15648,2.0,1.0
AC TRANSIT,37.75936,-122.23858,114.0,1.0
AC TRANSIT,37.68636,-122.04779,131.0,1.0
AC TRANSIT,37.67572,-122.0725,63.0,1.0
AC TRANSIT,37.84245,-122.21862,1.0,1.0
AC TRANSIT,37.77709,-122.17148,96.0,1.0
AC TRANSIT,37.52053,-121.91774,91.0,1.0
AC TRANSIT,37.86292,-122.25888,244.0,2.0
AC TRANSIT,37.74064,-122.16776,324.0,2.0
AC TRANSIT,37.71039,-122.12118,34.0,1.0
AC TRANSIT,37.7745,-122.21934,324.0,2.0
AC TRANSIT,37.88171,-122.27409,136.0,1.0
AC TRANSIT,37.54227,-121.97635,165.0,1.0
AC TRANSIT,37.80475,-122.27201,174.0,1.0
AC TRANSIT,37.7865,-122.23656,255.0,2.0
AC TRANSIT,37.53968,-121.94428,4.0,1.0
AC TRANSIT,37.78878,-122.24642,324.0,2.0
AC TRANSIT,37.68045,-122.0848,51.0,1.0
AC TRANSIT,37.79888,-122.22474,140.0,1.0
AC TRANSIT,37.63179,-122.0696,90.0,1.0
AC TRANSIT,37.69396,-122.13012,180.0,1.0
AC TRANSIT,37.84006,-122.26954,110.0,1.0
AC TRANSIT,37.75354,-122.19687,94.0,1.0
AC TRANSIT,37.79972,-122.17188,31.0,1.0
AC TRANSIT,37.67116,-122.07419,81.0,1.0
AC TRANSIT,37.55597,-122.06247,42.0,1.0
AC TRANSIT,37.86865,-122.26026,470.0,2.0
AC TRANSIT,37.77311,-122.27066,113.0,1.0
AC TRANSIT,37.65403,-122.05358,81.0,1.0
AC TRANSIT,37.78263,-122.18803,399.0,2.0
AC TRANSIT,37.75321,-122.18531,23.0,1.0
AC TRANSIT,37.67739,-122.14209,51.0,1.0
AC TRANSIT,37.74106,-122.16448,94.0,1.0
AC TRANSIT,37.66215,-122.05811,81.0,1.0
AC TRANSIT,37.86471,-122.29087,243.0,2.0
AC TRANSIT,37.54017,-121.97239,165.0,1.0
AC TRANSIT,37.79547,-122.23667,100.0,1.0
AC TRANSIT,37.7655,-122.15266,18.0,1.0
AC TRANSIT,37.8437,-122.24673,2.0,1.0
AC TRANSIT,37.67331,-122.0775,81.0,1.0
AC TRANSIT,37.67926,-122.05086,68.0,1.0
AC TRANSIT,37.77544,-122.23613,2.0,1.0
AC TRANSIT,37.52242,-122.00217,43.0,1.0
AC TRANSIT,37.86218,-122.28067,111.0,1.0
AC TRANSIT,37.48683,-121.9276,124.0,1.0
AC TRANSIT,37.77276,-122.28871,5.0,1.0
AC TRANSIT,37.48156,-121.92459,124.0,1.0
AC TRANSIT,37.70716,-122.06432,51.0,1.0
AC TRANSIT,37.61886,-122.0702,51.0,1.0
AC TRANSIT,37.51305,-121.94229,17.0,1.0
AC TRANSIT,37.85384,-122.236,8.0,1.0
AC TRANSIT,37.55768,-121.9755,13.0,1.0
AC TRANSIT,37.72544,-122.15792,324.0,2.0
AC TRANSIT,37.51472,-121.95282,81.0,1.0
AC TRANSIT,37.74219,-122.1596,94.0,1.0
AC TRANSIT,37.83788,-122.19828,3.0,1.0
AC TRANSIT,37.70864,-122.06599,51.0,1.0
AC TRANSIT,37.6266,-122.09425,125.0,1.0
