idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
28044,-115.55838,32.95794,0.94779,0.0,0.87,0.3075,0.26534,0.59126,0.53539,0.49307,0.51058,0.07094,0.32181,0.85888,0.41073,0.40673
5214,-115.33686,32.72115,0.5048,0.0,0.61531,0.72066,0.93972,0.11844,0.91703,0.90425,0.31892,0.61623,0.17278,0.80484,0.51307,0.47663
64745,-115.7299,33.35125,0.07703,0.0,0.71213,0.37844,0.59081,0.88552,0.0,0.0,0.24798,0.0,0.05496,0.62993,0.39779,0.39163
4271,-115.99298,32.73575,0.86223,0.0,0.7234,0.66601,0.87593,0.17628,0.24981,0.11463,0.00761,0.77835,0.07231,0.61136,0.31718,0.27805
31190,-115.42014,32.9813,0.0,0.0,0.5596,0.53905,0.51378,0.38971,0.17278,0.35561,0.37357,0.34617,0.14508,0.67347,0.41612,0.40428
69600,-115.6626,33.40287,0.07703,0.0,0.73086,0.37844,0.59081,0.88552,0.0,0.0,0.24798,0.0,0.16684,0.62841,0.41404,0.40789
73171,-114.73128,33.43187,0.07703,0.0,0.74943,0.37844,0.59081,0.88552,0.0,0.0,0.24798,0.0,0.01446,0.0,0.43753,0.45021
31554,-115.4242,32.98508,0.0,0.0,0.57969,0.53905,0.51378,0.38971,0.17278,0.35561,0.37357,0.34617,0.09377,0.68869,0.41299,0.40103
10027,-115.28262,32.77312,0.14797,0.0,0.0,0.07109,0.29822,0.33049,0.07094,0.22865,0.15573,0.09225,1.0,0.0,0.4088,0.42768
21957,-115.38244,32.89299,0.14797,0.86832,0.61242,0.07109,0.29822,0.33049,0.07094,0.22865,0.15573,0.09225,0.01446,0.0,0.2868,0.2906
30806,-115.51855,32.98166,0.40143,0.96971,0.95783,0.86695,0.0,0.31816,0.89192,0.89192,0.94413,0.66494,0.17019,0.9758,0.56233,0.56952
