idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
9565,-120.13158,36.00315,0.20887,0.0,0.0,0.72722,0.30473,0.38632,0.96382,0.80433,0.91048,0.61025,1.0,0.0,0.59774,0.60572
9714,-120.12715,36.00676,0.12913,0.68814,0.73647,0.69078,0.831,0.30658,0.88408,0.84077,0.83074,0.64669,0.51307,0.60576,0.62508,0.61141
9899,-119.95832,36.01042,0.31212,0.85503,0.0,0.28202,0.38395,0.66042,0.55321,0.56932,0.54978,0.29575,1.0,0.0,0.59419,0.62397
12953,-119.5669,36.08882,0.02773,0.94375,0.6554,0.88355,0.22049,0.84579,0.87114,0.98733,0.72168,0.80776,0.41246,0.97412,0.64754,0.66121
13076,-119.56688,36.09242,0.62345,0.0,0.67177,0.91893,0.55585,0.62503,0.75654,0.76895,0.75416,0.84843,0.53182,0.67019,0.5793,0.56562
13316,-119.57573,36.09966,0.62345,0.98125,0.58067,0.91893,0.55585,0.62503,0.75654,0.76895,0.75416,0.84843,0.55664,0.96224,0.6613,0.66066
13437,-119.56682,36.10322,0.62345,0.99498,0.0,0.91893,0.55585,0.62503,0.75654,0.76895,0.75416,0.84843,1.0,0.0,0.70976,0.72717
13554,-119.57125,36.10684,0.54555,0.68814,0.75257,0.94455,0.939,0.87351,0.84552,0.9464,0.97465,0.78215,0.27753,0.74016,0.65872,0.638
13672,-119.56678,36.11042,0.54555,0.68814,0.54661,0.94455,0.939,0.87351,0.84552,0.9464,0.97465,0.78215,0.28862,0.76921,0.62673,0.60737
15849,-119.82463,36.18669,0.31212,0.76578,0.0,0.28202,0.38395,0.66042,0.55321,0.56932,0.54978,0.29575,1.0,0.0,0.5875,0.61594
17314,-119.77994,36.24061,0.31212,0.99445,0.49379,0.28202,0.38395,0.66042,0.55321,0.56932,0.54978,0.29575,0.55374,0.96594,0.56562,0.58012
17674,-119.9047,36.25517,0.31212,0.0,0.0,0.28202,0.38395,0.66042,0.55321,0.56932,0.54978,0.29575,1.0,0.0,0.53006,0.54702
18958,-119.80654,36.29825,0.57116,0.90758,0.0,0.48138,0.91075,0.07869,0.21468,0.10114,0.29443,0.88381,1.0,0.0,0.56858,0.56508
18960,-119.79762,36.29823,0.96171,0.91867,0.98336,0.48138,0.66147,0.07869,0.21468,0.10114,0.29443,0.88381,0.45234,0.65461,0.52194,0.50719
