idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
10460,-121.3366,36.43316,0.02247,0.9909,0.52332,0.63581,0.0,0.60324,0.7975,0.72099,0.53313,0.69994,0.44411,0.906,0.53327,0.54919
11527,-121.83036,36.52732,0.41425,0.98294,0.48365,0.72312,0.0,0.96772,0.04323,0.17079,0.27418,0.09599,0.1971,0.97767,0.40381,0.42222
11941,-121.93879,36.56878,0.32082,0.0,0.0,0.41212,0.38325,0.5091,0.08205,0.20151,0.22824,0.61291,1.0,0.0,0.43214,0.4438
12018,-121.91212,36.57642,0.93544,0.98877,0.52773,0.92705,0.3302,0.30489,0.04792,0.0337,0.1479,0.03584,0.25242,0.9872,0.41774,0.42183
12092,-121.9123,36.58361,0.93544,0.98877,0.52773,0.92705,0.3302,0.30489,0.04792,0.0337,0.1479,0.03584,0.25242,0.9872,0.40793,0.41203
12167,-121.89458,36.5911,0.64889,0.0,0.46217,0.96999,0.77929,0.13979,0.25583,0.22881,0.35154,0.34812,0.32096,0.61049,0.41161,0.38108
12171,-121.85877,36.59167,0.94539,0.68586,0.43373,0.88453,0.7008,0.48336,0.45151,0.5667,0.91084,0.47142,0.36391,0.52446,0.51262,0.49917
12173,-121.84087,36.59195,0.94539,0.93274,0.41539,0.88453,0.7008,0.48336,0.45151,0.5667,0.91084,0.47142,0.08148,0.38965,0.46567,0.45455
12574,-121.824,36.63541,0.69425,0.97924,0.51692,0.56342,0.82935,0.53257,0.28313,0.46146,0.03342,0.54735,0.55589,0.99915,0.56258,0.56452
12687,-121.80642,36.65008,0.28712,0.0,0.0,1.0,0.99218,0.0,0.53584,0.16553,0.0,0.99488,1.0,0.0,0.53134,0.50671
12703,-121.66308,36.65218,0.95947,0.97639,0.41112,0.33476,0.46203,0.52474,0.58248,0.59954,0.31527,0.21359,0.03385,0.37543,0.37804,0.38325
12744,-121.77075,36.65782,0.5566,0.0,0.50199,0.69767,0.63993,0.86604,0.30859,0.26948,0.96871,0.81982,0.16581,0.92036,0.52059,0.49815
12788,-121.7978,36.66461,0.46815,0.84883,0.44511,0.83305,0.51479,0.98692,0.46886,0.53655,0.81698,0.67079,0.37941,0.57608,0.5764,0.58467
12804,-121.65443,36.6667,0.36277,0.76834,0.65444,0.81982,0.0,0.9616,0.51877,0.59343,0.28726,0.22142,0.17619,0.72867,0.44259,0.46274
12834,-121.79797,36.6718,0.46815,0.0,0.0,0.83305,0.51479,0.98692,0.46886,0.53655,0.81698,0.67079,1.0,0.0,0.59899,0.60822
12848,-121.67251,36.67365,0.27773,0.62713,0.72355,0.30162,0.0,0.68615,0.5411,0.45677,0.09115,0.44354,0.17378,0.80717,0.43526,0.45219
12943,-121.59215,36.68916,0.26081,0.0,0.96644,0.30518,0.0,0.33746,0.96303,0.79437,0.32892,0.48549,0.42534,0.85751,0.4372,0.44309
13056,-121.61054,36.7105,0.97952,0.0,0.79565,0.28356,0.0,0.38609,0.66581,0.54977,0.26735,0.73606,0.37614,0.86419,0.37911,0.37787
13092,-121.62862,36.71746,0.08419,0.95421,0.38879,0.74147,0.32793,0.04536,0.65899,0.68601,0.34471,0.5401,0.03641,0.36775,0.46371,0.47261
13211,-121.656,36.73867,0.96729,0.97597,0.46829,0.06542,0.34357,0.6415,0.54579,0.52432,0.29337,0.49431,0.28854,0.9909,0.43813,0.44779
13317,-121.74618,36.75897,0.36889,0.62713,0.96118,0.06542,0.0,0.93373,0.84898,0.91724,0.43999,0.44824,0.48777,0.71658,0.5775,0.60725
13775,-121.65015,36.88273,0.54536,0.91283,0.47369,0.06542,0.68444,0.97582,0.57921,0.51578,0.05887,0.2308,0.1961,0.99829,0.44201,0.45053
