idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
45,-117.62409,33.4471,0.7454,0.60201,0.50582,0.49595,0.0,0.52349,0.23299,0.21318,0.09214,0.06873,0.2397,0.89941,0.28408,0.29059
176,-117.71741,33.49234,0.64572,0.0,0.74807,0.57886,0.41097,0.51906,0.19903,0.10329,0.41892,0.03212,0.71426,0.95513,0.45528,0.45191
211,-117.66559,33.4985,0.79316,0.0,0.0,0.91135,0.80993,0.80791,0.90133,0.83473,0.59023,0.8524,1.0,0.0,0.65811,0.65632
356,-117.77641,33.53682,0.35436,0.0,0.73445,0.67014,0.2364,0.598,0.03605,0.2152,0.38486,0.2606,0.51148,0.39784,0.41711,0.42114
516,-117.72395,33.56465,0.24229,0.83999,0.75842,0.45929,0.58663,0.23629,0.37537,0.2122,0.27546,0.60141,0.53215,0.99809,0.49533,0.48513
659,-117.65443,33.58489,0.06386,0.79279,0.43386,0.12805,0.0,0.08475,0.16815,0.33117,0.13732,0.16778,0.7164,0.9782,0.40561,0.42618
684,-117.86954,33.59636,0.52033,0.96864,0.75598,0.50041,0.23017,0.11998,0.25216,0.00484,0.25077,0.03902,0.73512,0.75013,0.44745,0.45793
933,-117.69645,33.62184,0.69626,0.9534,0.896,0.93112,0.89262,0.87739,0.7833,0.73452,0.88966,0.35406,0.00135,0.34693,0.56141,0.55443
1112,-117.82509,33.64603,0.99696,0.91322,0.99482,0.99257,0.99524,0.06933,0.56179,0.48432,0.99655,0.99595,0.21828,0.9136,0.59656,0.55774
1141,-117.57517,33.64096,0.17138,0.80453,0.3909,0.06067,0.0,0.11597,0.19393,0.04513,0.03549,0.36182,0.7289,0.95869,0.38366,0.39925
1169,-117.91971,33.65503,0.20492,0.89671,0.8491,0.61946,0.76401,0.50702,0.9307,0.84419,0.88598,0.88617,0.39476,0.97276,0.62735,0.61202
1271,-117.64368,33.65684,0.50739,0.44616,0.85972,0.4244,0.9023,0.39578,0.52319,0.26341,0.33128,0.2209,0.49141,0.83267,0.46009,0.4408
1306,-117.95381,33.67008,0.32442,0.89581,0.0,0.39322,0.0,0.58644,0.20695,0.22218,0.51384,0.45228,1.0,0.0,0.51656,0.55379
1460,-117.88446,33.68324,0.80922,0.93509,0.0,0.33541,0.87976,0.03448,0.59773,0.52784,0.27643,0.39187,1.0,0.0,0.59309,0.59869
1520,-117.99638,33.69249,0.44744,0.87991,0.86869,0.97044,0.67131,0.76863,0.43318,0.49572,0.75786,0.12351,0.62846,0.99891,0.61062,0.60608
1543,-117.79803,33.68881,0.64197,0.75009,0.63401,0.77227,0.46957,0.06048,0.09398,0.69573,0.46796,0.40666,0.23595,0.8999,0.51121,0.51579
1765,-117.75431,33.7096,0.85762,0.8398,0.0,0.6151,0.41495,0.43224,0.06937,0.66894,0.47423,0.16114,1.0,0.0,0.54662,0.57583
1874,-118.02135,33.72901,0.48481,0.83657,0.93236,0.29812,0.66155,0.74,0.21588,0.34167,0.37627,0.523,0.62497,0.99066,0.537,0.53905
2018,-117.94332,33.74206,0.77726,0.73696,0.76709,0.56397,0.82622,0.8362,0.58408,0.9226,0.70312,0.64549,0.21629,0.79249,0.63532,0.63429
2092,-117.88273,33.74816,0.96481,0.70312,0.99358,0.93284,0.99831,0.79549,0.92125,0.90696,0.69239,0.77245,0.20781,0.57342,0.67307,0.65838
2100,-117.81369,33.74685,0.15026,0.86659,0.0,0.86486,0.3945,0.72514,0.73242,0.55365,0.65292,0.56483,1.0,0.0,0.65923,0.68148
2351,-117.91649,33.77765,0.45554,0.9925,0.54618,0.95959,0.83582,0.42864,0.87146,0.90992,0.73062,0.69449,0.35567,0.97137,0.65027,0.63586
2358,-117.85606,33.77652,0.93483,0.0,0.0,0.94901,0.94665,0.87889,0.75696,0.30119,0.96068,0.97089,1.0,0.0,0.6475,0.63164
2403,-117.994,33.78626,0.25268,0.93978,0.0,0.84224,0.63109,0.90092,0.75452,0.8246,0.80108,0.66977,1.0,0.0,0.72595,0.74659
2484,-117.80386,33.78995,0.72244,0.60201,0.93082,0.29238,0.40617,0.73006,0.8843,0.80798,0.581,0.80836,0.71494,0.88298,0.65738,0.66565
2511,-118.07136,33.80203,0.49197,0.64564,0.76983,0.72627,0.82809,0.40924,0.67558,0.26634,0.7265,0.30836,0.69202,0.8126,0.60052,0.58158
2524,-117.95909,33.80007,0.11886,0.74747,0.3323,0.77347,0.28225,0.96924,0.76664,0.89784,0.99325,0.48702,0.46139,0.77155,0.61392,0.63165
2632,-117.99327,33.81511,0.20132,0.89472,0.48218,0.88433,0.86017,0.23873,0.86238,0.88647,0.97869,0.81414,0.32393,0.27159,0.61475,0.60377
2731,-118.04474,33.83044,0.54453,0.72121,0.99707,0.63698,0.0,0.75482,0.39908,0.73662,0.4504,0.77088,0.61154,0.97272,0.60594,0.63248
2755,-117.83741,33.82668,0.53448,0.98375,0.26897,0.6303,0.60903,0.85229,0.69127,0.51546,0.69776,0.80671,0.61019,0.74923,0.60781,0.6104
3066,-117.96569,33.87955,0.82498,0.84558,0.96274,0.38373,0.61908,0.03898,0.10392,0.83957,0.50098,0.35758,0.06746,0.92072,0.45446,0.44991
2845,-117.9407,33.84303,0.44001,0.95892,0.97475,0.74169,0.74717,0.52551,0.90043,0.80007,0.75107,0.95457,0.44732,0.98938,0.68121,0.6696
2899,-117.89731,33.84945,0.40692,0.92403,0.80183,0.84333,0.76867,0.64422,0.94826,0.87176,0.43855,0.92268,0.20308,0.96616,0.62513,0.61533
2964,-117.74157,33.85367,0.60464,0.44616,0.78131,0.80472,0.5514,0.32134,0.40823,0.27317,0.3491,0.32704,0.32333,0.82607,0.45542,0.44946
3114,-117.8877,33.88535,0.6913,0.0,0.0,0.96485,0.98255,0.38512,0.70095,0.53335,0.98582,0.99441,1.0,0.0,0.65672,0.63573
3159,-117.81835,33.89125,0.87687,0.86287,0.6052,0.82971,0.0,0.53602,0.51017,0.23422,0.35758,0.05534,0.71535,0.92733,0.50953,0.52973
3301,-117.92979,33.92941,0.08539,0.44616,0.79121,0.03849,0.57785,0.92842,0.94316,0.81084,0.89495,0.95678,0.4692,0.85297,0.61054,0.60398
