Unnamed: 0,Unnamed: 0.1,State,Locality,Precincts (Or Locality-wide),name,address,lat,lon,Is Early Voting,Is Drop Off,manual
3721.0,3722.0,CA,SACRAMENTO COUNTY,Locality wide location,Toby Johnson Middle School,"10099 Franklin High Rd, Elk Grove, CA 95757, USA",38.39097,-121.432,False,False,1.0
3722.0,3723.0,CA,SACRAMENTO COUNTY,Locality wide location,George Washington Carver High School,"10101 Systems Pkwy, Sacramento, CA 95827, USA",38.5649,-121.31636,False,False,1.0
3723.0,3724.0,CA,SACRAMENTO COUNTY,Locality wide location,Koreana Plaza,"10947 Olson Dr #402, Rancho Cordova, CA 95670, USA",38.59627,-121.28319,False,False,1.0
3724.0,3725.0,CA,SACRAMENTO COUNTY,Locality wide location,Herald Fire Station #87,"12746 Ivie Rd, Herald, CA 95638, USA",38.2937,-121.24068,False,False,1.0
3725.0,3726.0,CA,SACRAMENTO COUNTY,Locality wide location,First Step Communities,"1400 A St # A, Sacramento, CA 95811, USA",38.58897,-121.48433,False,False,1.0
3726.0,3727.0,CA,SACRAMENTO COUNTY,Locality wide location,Walnut Grove Library,"14177 Market St, Walnut Grove, CA 95690, USA",38.24078,-121.51402,False,False,1.0
3727.0,3728.0,CA,SACRAMENTO COUNTY,Locality wide location,CLARA Auditorium,"1425 24th St, Sacramento, CA 95816, USA",38.57008,-121.47661,False,False,1.0
3728.0,3729.0,CA,SACRAMENTO COUNTY,Locality wide location,Secretary of State Building,"1500 11th St, Sacramento, CA 95814, USA",38.57424,-121.4949,False,False,1.0
3729.0,3730.0,CA,SACRAMENTO COUNTY,Locality wide location,Rancho Murieta Community Services District,"15160 Jackson Rd, Sloughhouse, CA 95683, USA",38.48686,-121.08298,False,False,1.0
3730.0,3731.0,CA,SACRAMENTO COUNTY,Locality wide location,Isleton Community Center,"208 Jackson Blvd, Isleton, CA 95641, USA",38.16045,-121.61276,False,False,1.0
3731.0,3732.0,CA,SACRAMENTO COUNTY,Locality wide location,Dept of Human Assistance - Galt,"210 N Lincoln Way, Galt, CA 95632, USA",38.25733,-121.30077,False,False,1.0
3732.0,3733.0,CA,SACRAMENTO COUNTY,Locality wide location,Richard T. Conzelmann Community Center,"2201 Cottage Way, Sacramento, CA 95825, USA",38.60524,-121.41204,False,False,1.0
3733.0,3734.0,CA,SACRAMENTO COUNTY,Locality wide location,Gold River Sports Club,"2201 Gold Rush Dr, Gold River, CA 95670, USA",38.62319,-121.25988,False,False,1.0
3734.0,3735.0,CA,SACRAMENTO COUNTY,Locality wide location,Johnston Community Center,"231 Eleanor Ave, Sacramento, CA 95815, USA",38.61757,-121.46262,False,False,1.0
3735.0,3736.0,CA,SACRAMENTO COUNTY,Locality wide location,Marina Vista Community Center,"240 Seavey Cir, Sacramento, CA 95818, USA",38.55996,-121.51322,False,False,1.0
3736.0,3737.0,CA,SACRAMENTO COUNTY,Locality wide location,Arcade Library,"2443 Marconi Ave, Sacramento, CA 95821, USA",38.61861,-121.40409,False,False,1.0
3737.0,3738.0,CA,SACRAMENTO COUNTY,Locality wide location,Dept of Human Assistance - Florin,"2450 Florin Rd, Sacramento, CA 95822, USA",38.49502,-121.48106,False,False,1.0
3738.0,3739.0,CA,SACRAMENTO COUNTY,Locality wide location,Pannell Meadowview Community Center,"2450 Meadowview Rd, Sacramento, CA 95832, USA",38.48063,-121.47882,False,False,1.0
3739.0,3740.0,CA,SACRAMENTO COUNTY,Locality wide location,Heritage Park Clubhouse,"2481 Heritage Park Ln, Sacramento, CA 95835, USA",38.68274,-121.51657,False,False,1.0
3740.0,3741.0,CA,SACRAMENTO COUNTY,Locality wide location,Rancho Cordova City Hall,"2729 Prospect Park Dr, Rancho Cordova, CA 95670, USA",38.58929,-121.28457,False,False,1.0
3741.0,3742.0,CA,SACRAMENTO COUNTY,Locality wide location,Sierra 2 Center,"2791 24th St, Sacramento, CA 95818, USA",38.55383,-121.48317,False,False,1.0
3742.0,3743.0,CA,SACRAMENTO COUNTY,Locality wide location,University of Phoenix,"2860 Gateway Oaks Dr, Sacramento, CA 95833, USA",38.62206,-121.5191,False,False,1.0
3743.0,3744.0,CA,SACRAMENTO COUNTY,Locality wide location,South Natomas Library,"2901 Truxel Rd, Sacramento, CA 95833, USA",38.61902,-121.4981,False,False,1.0
3744.0,3745.0,CA,SACRAMENTO COUNTY,Locality wide location,CJUSD Office Annex,"3243 Center Ct Ln, Antelope, CA 95843, USA",38.71919,-121.38496,False,False,1.0
3745.0,3746.0,CA,SACRAMENTO COUNTY,Locality wide location,V F W Post 4647,"3300 U St, Antelope, CA 95843, USA",38.70317,-121.38951,False,False,1.0
3746.0,3747.0,CA,SACRAMENTO COUNTY,Locality wide location,Maple Neighborhood Center,"3301 37th Ave, Sacramento, CA 95824, USA",38.51964,-121.47186,False,False,1.0
