lat,lon
35.27612,-120.65488
35.2438,-120.64067
35.26889,-120.65564
35.25469,-120.64601
35.26486,-120.6525
35.25023,-120.64389
35.27457,-120.66052
35.25797,-120.64753
35.27023,-120.65672
35.26273,-120.65087
35.24725,-120.64262
35.29208,-120.66135
35.29133,-120.66052
35.26056,-120.67913
35.26149,-120.67813
35.26312,-120.70191
35.28293,-120.66243
35.29438,-120.66588
35.29402,-120.66618
35.29394,-120.6699
35.29423,-120.67702
35.29421,-120.67372
35.29403,-120.68208
35.28265,-120.70646
35.28279,-120.70654
35.29426,-120.68277
35.29424,-120.68443
35.2942,-120.67018
35.29127,-120.65304
35.29407,-120.65301
35.29431,-120.65332
35.28918,-120.65239
35.28941,-120.65228
35.2911,-120.65338
35.29817,-120.67779
35.2983,-120.67775
35.29831,-120.68071
35.30255,-120.66758
35.2672,-120.67057
35.25154,-120.67101
35.25413,-120.66947
35.24848,-120.6728
35.27039,-120.67003
35.27111,-120.67014
35.2443,-120.67532
35.2748,-120.64693
35.26978,-120.64244
35.27852,-120.6502
35.27169,-120.64418
35.30229,-120.66324
35.30235,-120.66358
35.26648,-120.63988
35.26342,-120.64218
35.26507,-120.64091
35.25069,-120.68567
35.24706,-120.68307
35.26524,-120.70026
35.26465,-120.69995
35.26749,-120.70292
35.26693,-120.7027
35.24248,-120.6784
35.26162,-120.69641
35.26244,-120.69696
35.25801,-120.69175
35.25761,-120.6918
35.25976,-120.69376
35.25999,-120.69443
35.27393,-120.70888
35.27378,-120.7091
35.25932,-120.68398
35.25952,-120.6841
35.26429,-120.67628
35.26382,-120.67639
35.26116,-120.68053
35.27498,-120.66874
35.27772,-120.66432
35.27917,-120.66196
35.28232,-120.65668
35.2804,-120.65984
35.28935,-120.65273
35.28578,-120.65882
35.28587,-120.65895
35.28931,-120.65317
35.2869,-120.6572
35.2868,-120.65708
35.2846,-120.66083
35.28577,-120.65495
35.28599,-120.65489
35.28714,-120.65315
35.28733,-120.65318
35.28359,-120.65847
35.28327,-120.65863
35.27861,-120.66623
35.27601,-120.66389
35.26133,-120.63776
35.26126,-120.64317
35.25878,-120.63319
35.29443,-120.68357
35.29791,-120.68356
35.30042,-120.65749
35.30026,-120.65776
35.27339,-120.66787
35.25605,-120.67294
35.2618,-120.70069
35.29271,-120.67401
35.29284,-120.67747
35.25063,-120.63374
35.23934,-120.63754
35.27574,-120.65634
35.27528,-120.65638
35.27243,-120.65607
35.27258,-120.65627
35.27883,-120.65652
35.29311,-120.66776
35.28182,-120.65917
35.27751,-120.65536
35.28093,-120.65859
35.29155,-120.66701
35.29002,-120.66666
35.28945,-120.66582
35.27971,-120.65745
35.26942,-120.662
35.26961,-120.6615
35.26942,-120.65902
35.2696,-120.65904
35.26941,-120.66873
35.26962,-120.66916
35.24979,-120.63722
35.2493,-120.64086
35.256,-120.63828
35.7525,-120.69623
35.63884,-120.69252
35.61519,-120.68232
35.62269,-120.68789
35.63955,-120.6924
35.61756,-120.68034
35.75311,-120.69601
35.11941,-120.61553
35.11531,-120.61584
35.11075,-120.6165
35.10488,-120.616
35.11251,-120.60044
35.11262,-120.59118
35.11701,-120.58142
35.61503,-120.6929
35.61539,-120.69147
35.61713,-120.69048
35.61944,-120.69069
35.6225,-120.68829
35.65134,-120.67087
35.75251,-120.69627
35.6187,-120.69083
35.61583,-120.69186
35.61489,-120.68155
35.61568,-120.67488
35.61566,-120.67048
35.61273,-120.66924
35.60677,-120.66885
35.60518,-120.66005
35.6053,-120.66023
35.60643,-120.65887
35.60842,-120.65525
35.60843,-120.65012
35.60855,-120.65031
35.60822,-120.64332
35.60806,-120.64361
35.61043,-120.64396
35.61581,-120.65389
35.61664,-120.659
35.62333,-120.66249
35.62503,-120.6696
35.62727,-120.67349
35.62897,-120.6772
35.62899,-120.68087
35.63263,-120.6873
35.635,-120.68747
35.64102,-120.6883
35.64198,-120.68742
35.63824,-120.68796
35.63294,-120.68749
35.62924,-120.68718
35.6285,-120.69146
35.63176,-120.69173
35.63647,-120.69215
35.63913,-120.69156
35.63963,-120.69239
35.64294,-120.69266
35.64514,-120.69286
35.64941,-120.69449
35.64917,-120.69338
35.64762,-120.69326
35.64512,-120.69302
35.6435,-120.69292
35.63845,-120.69249
35.6368,-120.69236
35.63251,-120.69198
35.63046,-120.69183
35.4587,-120.64261
35.43968,-120.62778
35.43273,-120.61415
35.42915,-120.60642
35.41796,-120.60447
35.39211,-120.60712
35.392,-120.60685
35.38853,-120.61331
35.41834,-120.60427
35.42927,-120.60628
35.43308,-120.61454
35.4403,-120.62834
35.44956,-120.63256
35.44994,-120.63271
35.45452,-120.63784
35.45435,-120.63775
35.45748,-120.64129
35.46154,-120.64468
35.46494,-120.64755
35.46748,-120.65004
35.47196,-120.65329
35.47537,-120.65475
35.48036,-120.65799
35.48499,-120.66308
35.48914,-120.66483
35.48965,-120.67074
35.49079,-120.67305
35.49553,-120.67961
35.49984,-120.68352
35.50223,-120.68706
35.50752,-120.69305
35.51333,-120.69737
35.55419,-120.71389
35.5872,-120.69715
35.58708,-120.69686
35.58392,-120.69683
35.5761,-120.69788
35.36646,-120.84451
35.4289,-120.88136
35.44429,-120.89503
35.44592,-120.89823
35.36165,-120.82468
35.36204,-120.82424
35.32992,-120.82669
35.33001,-120.82707
35.32646,-120.83109
35.3206,-120.83111
35.31484,-120.83227
35.31183,-120.83229
35.31191,-120.83607
35.31308,-120.84478
35.31818,-120.84481
35.32063,-120.83585
35.32604,-120.83538
35.32832,-120.84088
35.32996,-120.83499
35.30231,-120.66358
35.30232,-120.66321
35.30027,-120.65767
35.3004,-120.65752
35.29156,-120.66701
35.64112,-120.6927
35.6271,-120.69154
35.62528,-120.69117
35.62482,-120.69134
35.62146,-120.68987
35.62881,-120.68085
35.62746,-120.67414
35.62451,-120.66826
35.62306,-120.66233
35.61936,-120.65929
35.61565,-120.6586
35.61573,-120.65318
35.61355,-120.65025
35.61125,-120.6444
35.60853,-120.65623
35.60689,-120.65912
35.60649,-120.66843
35.61587,-120.67072
35.52407,-120.7036
35.52032,-120.70314
35.52024,-120.70292
35.5129,-120.69741
35.50687,-120.69269
35.50198,-120.68714
35.49956,-120.68355
35.49755,-120.68166
35.49058,-120.67305
35.48883,-120.66955
35.48471,-120.66309
35.48005,-120.65808
35.47586,-120.65532
35.47283,-120.65392
35.46748,-120.65039
35.46446,-120.64747
35.46169,-120.64512
35.29409,-120.65301
35.29429,-120.65328
35.29108,-120.65334
35.12072,-120.58588
35.11886,-120.59128
35.11893,-120.59441
35.12067,-120.60081
35.121,-120.60722
35.12119,-120.61183
35.12137,-120.61559
35.12177,-120.62384
35.12199,-120.62859
35.12415,-120.63072
35.12391,-120.63081
35.12172,-120.6273
35.1215,-120.62285
35.12116,-120.61574
35.12098,-120.61195
35.1208,-120.60823
35.1205,-120.60179
35.11855,-120.59341
35.12201,-120.58203
35.12114,-120.57768
35.12423,-120.5772
35.12197,-120.58242
35.12276,-120.58981
35.12179,-120.60923
35.11965,-120.60937
35.10426,-120.60054
35.09822,-120.6021
35.09824,-120.60893
35.10166,-120.61581
35.12262,-120.62001
35.13413,-120.63566
35.1285,-120.63195
35.1347,-120.63654
35.14055,-120.64114
35.13975,-120.64046
35.14358,-120.644
35.14537,-120.64489
35.14058,-120.63889
35.1409,-120.63897
35.14372,-120.64212
35.14721,-120.64603
35.14957,-120.65174
35.16302,-120.6862
35.15967,-120.67744
35.1588,-120.67525
35.15523,-120.66607
35.1538,-120.6606
35.15701,-120.66859
35.16185,-120.68069
35.13731,-120.62104
35.13708,-120.61473
35.13414,-120.60642
35.12246,-120.58502
35.12389,-120.59034
35.13026,-120.60482
35.13432,-120.60646
35.1372,-120.61472
35.13743,-120.62139
35.18142,-120.7039
35.18067,-120.73581
35.17228,-120.75654
35.18063,-120.7355
35.44988,-120.90545
35.55034,-121.07264
35.55036,-121.0724
35.55129,-121.0801
35.55092,-121.08004
35.55618,-121.08276
35.55718,-121.08216
35.558,-121.08071
35.56374,-121.08253
35.56362,-121.08263
35.56328,-121.08569
35.56331,-121.08614
35.56294,-121.09206
35.56281,-121.09208
35.56466,-121.09639
35.56483,-121.09639
35.56796,-121.1009
35.56719,-121.10009
35.56893,-121.10493
35.5688,-121.10488
35.57209,-121.11224
35.57228,-121.11248
35.57762,-121.11514
35.57866,-121.11598
35.58348,-121.12056
35.58464,-121.12114
35.61302,-121.14365
35.65039,-121.18659
35.6124,-121.14397
35.44979,-120.90651
35.44596,-120.89872
35.44381,-120.8943
35.42921,-120.88184
35.39326,-120.86052
35.13858,-120.62991
35.27043,-120.67005
35.27796,-120.66393
35.27106,-120.67013
