idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
1502,-122.28359,40.38484,0.94658,0.0,0.78882,0.47063,0.6751,0.403,0.81631,0.08232,0.9697,0.68697,0.37973,0.67604,0.44358,0.41329
2399,-122.27945,40.40293,0.94658,0.96189,0.70915,0.47063,0.6751,0.403,0.81631,0.08232,0.9697,0.68697,0.37113,0.85473,0.51498,0.49773
5491,-122.29967,40.44579,0.71087,0.93986,0.76257,0.92893,0.64011,0.96345,0.84677,0.56373,0.62324,0.7985,0.19463,0.7293,0.60881,0.60529
5834,-122.4082,40.44734,0.92893,0.0,0.62137,0.60419,0.35895,0.35333,0.74852,0.8099,0.08685,0.34302,0.48313,0.64074,0.38415,0.37763
5883,-122.29507,40.44948,0.67885,0.0,0.80397,0.64995,0.3766,0.57248,0.93799,0.8641,0.6676,0.82646,0.29272,0.63761,0.53057,0.52116
8566,-122.2724,40.47872,0.24977,0.95095,0.69541,0.74836,0.03686,0.31615,0.30381,0.75117,0.17604,0.47485,0.30834,0.98938,0.42175,0.43672
11105,-122.54221,40.50232,0.53108,0.83349,0.57357,0.56873,0.2418,0.21415,0.16901,0.45564,0.24399,0.52249,0.02499,0.54171,0.41094,0.41954
12164,-122.30196,40.51781,0.24977,0.99594,0.51812,0.74836,0.03686,0.31615,0.30381,0.75117,0.17604,0.47485,0.01,0.51515,0.33773,0.3538
12506,-122.30207,40.52141,0.24977,0.99594,0.51812,0.74836,0.03686,0.31615,0.30381,0.75117,0.17604,0.47485,0.01,0.51515,0.33773,0.3538
13401,-122.38264,40.5307,0.69634,0.98563,0.75226,0.62543,0.62559,0.38847,0.76617,0.6523,0.5681,0.71743,0.34583,0.9861,0.56916,0.56025
13403,-122.37792,40.5308,0.69634,0.98563,0.75226,0.62543,0.62559,0.38847,0.76617,0.6523,0.5681,0.71743,0.34583,0.9861,0.56788,0.55898
13417,-122.31185,40.53204,0.36817,0.98485,0.65792,0.76398,0.16979,0.30053,0.31412,0.76148,0.16042,0.48516,0.08357,0.96892,0.41559,0.42645
14682,-122.32175,40.54627,0.50281,0.95267,0.8463,0.04827,0.32818,0.0,0.91612,0.8816,0.00609,0.89238,0.1159,0.93658,0.44485,0.44835
14908,-122.38796,40.54862,0.8816,0.91768,0.8955,0.80256,0.13183,0.17541,0.92346,0.34099,0.38254,0.41284,0.09231,0.96689,0.4686,0.46644
14911,-122.38324,40.54871,0.69634,0.0,0.0,0.62543,0.62559,0.38847,0.76617,0.6523,0.5681,0.71743,1.0,0.0,0.59028,0.58952
14913,-122.37852,40.5488,0.69634,0.83724,0.80131,0.62543,0.62559,0.38847,0.76617,0.6523,0.5681,0.71743,0.34614,0.95642,0.55852,0.54763
15321,-122.23701,40.55503,0.78444,0.92315,0.68947,0.02671,0.0,0.12059,0.13137,0.32427,0.02718,0.45814,0.15636,0.97548,0.32089,0.34011
15624,-122.33626,40.55681,0.61746,0.87973,0.913,0.35083,0.18541,0.2065,0.56373,0.63793,0.23633,0.63668,0.40893,0.97688,0.49307,0.49937
15913,-122.24195,40.56215,0.78444,0.99516,0.70431,0.02671,0.0,0.12059,0.13137,0.32427,0.02718,0.45814,0.08591,0.95486,0.29874,0.31061
16215,-122.38843,40.56302,0.69634,0.9672,0.8274,0.62543,0.62559,0.38847,0.76617,0.6523,0.5681,0.71743,0.13293,0.8577,0.58472,0.57846
16227,-122.35538,40.56366,0.9925,0.91409,0.87535,0.58654,0.95751,0.37098,0.98079,0.91831,0.95486,0.97969,0.23883,0.70712,0.65016,0.6286
16233,-122.34122,40.56392,0.81193,0.99157,0.85629,0.69463,0.66714,0.14261,0.68853,0.19666,0.6851,0.93205,0.22712,0.95017,0.54835,0.52694
16237,-122.33178,40.5641,0.81193,0.96485,0.84442,0.69463,0.66714,0.14261,0.68853,0.19666,0.6851,0.93205,0.35973,0.99984,0.55504,0.53439
16767,-122.39339,40.57014,0.97704,0.99141,0.7632,0.84052,0.98469,0.10512,0.70634,0.18119,0.70337,0.95361,0.15917,0.99531,0.54779,0.5095
16775,-122.37451,40.5705,0.51015,0.0,0.0,0.93924,0.61528,0.56217,0.95548,0.97813,0.94455,0.36067,1.0,0.0,0.64845,0.65178
16783,-122.35562,40.57086,0.81193,0.99313,0.0,0.69463,0.66714,0.14261,0.68853,0.19666,0.6851,0.93205,1.0,0.0,0.6329,0.63286
16787,-122.34617,40.57104,0.66823,0.0,0.0,0.81318,0.8905,0.16479,0.79147,0.72321,0.58263,0.96907,1.0,0.0,0.60701,0.59202
16789,-122.34145,40.57113,0.66823,0.985,0.80037,0.81318,0.8905,0.16479,0.79147,0.72321,0.58263,0.96907,0.46564,0.84271,0.62485,0.60281
17106,-122.36518,40.57428,0.66823,0.99781,0.80725,0.81318,0.8905,0.16479,0.79147,0.72321,0.58263,0.96907,0.03718,0.8766,0.56764,0.53992
17108,-122.36046,40.57437,0.66823,0.0,0.0,0.81318,0.8905,0.16479,0.79147,0.72321,0.58263,0.96907,1.0,0.0,0.6228,0.60781
17128,-122.30851,40.57535,0.89613,0.99734,0.55967,0.29475,0.54436,0.15058,0.80209,0.60715,0.22212,0.64433,0.00344,0.48735,0.36829,0.36165
17426,-122.39835,40.57725,0.97704,0.98094,0.82334,0.84052,0.98469,0.10512,0.70634,0.18119,0.70337,0.95361,0.11996,0.95127,0.53596,0.49974
17700,-122.4032,40.58076,0.97704,0.87973,0.99078,0.84052,0.98469,0.10512,0.70634,0.18119,0.70337,0.95361,0.11512,0.91628,0.55054,0.51415
17718,-122.36069,40.58157,0.66823,0.99781,0.80725,0.81318,0.8905,0.16479,0.79147,0.72321,0.58263,0.96907,0.03718,0.8766,0.5702,0.54248
17736,-122.32291,40.58228,0.89613,0.81006,0.91143,0.29475,0.54436,0.15058,0.80209,0.60715,0.22212,0.64433,0.27679,0.9558,0.47632,0.46727
17952,-122.40804,40.58427,0.97704,0.0,0.903,0.84052,0.98469,0.10512,0.70634,0.18119,0.70337,0.95361,0.11012,0.75508,0.4739,0.42533
17976,-122.34664,40.58544,0.66823,0.99688,0.93768,0.81318,0.8905,0.16479,0.79147,0.72321,0.58263,0.96907,0.33224,0.99922,0.62274,0.59992
18285,-122.38927,40.58823,0.10262,0.93814,0.90487,1.0,0.96517,0.98063,0.72181,0.7771,0.91143,0.38269,0.14308,0.70978,0.65178,0.63937
18571,-122.32326,40.59309,0.89613,0.0,0.65198,0.29475,0.54436,0.15058,0.80209,0.60715,0.22212,0.64433,0.27851,0.59294,0.37877,0.36016
18844,-122.35172,40.59616,0.80116,0.0,0.0,0.77476,0.07919,0.03483,0.78069,0.88894,0.79147,0.81568,1.0,0.0,0.56586,0.57743
18846,-122.34699,40.59625,0.80116,0.91768,0.94861,0.77476,0.07919,0.03483,0.78069,0.88894,0.79147,0.81568,0.26976,0.94033,0.54497,0.54558
18900,-122.38478,40.59553,0.51015,0.9936,0.71837,0.94986,0.15167,0.49516,0.14808,0.11981,0.64042,0.40222,0.14386,0.91331,0.42231,0.42063
19144,-122.41324,40.59858,0.51015,0.96314,0.71868,0.94986,0.15167,0.49516,0.14808,0.11981,0.64042,0.40222,0.08903,0.99141,0.3796,0.37704
19504,-122.32833,40.6038,0.29085,0.0,0.89191,0.71946,0.73914,0.32646,0.48251,0.58091,0.61496,0.99188,0.18994,0.94424,0.51811,0.49236
19761,-122.33317,40.60732,0.29085,0.83583,0.8438,0.71946,0.73914,0.32646,0.48251,0.58091,0.61496,0.99188,0.10372,0.73774,0.51506,0.49509
20310,-122.41845,40.61289,0.51015,0.87894,0.67104,0.94986,0.15167,0.49516,0.14808,0.11981,0.64042,0.40222,0.06888,0.98344,0.3901,0.3913
20326,-122.37593,40.61371,0.64683,0.0,0.0,0.98047,0.23461,0.95626,0.74133,0.74399,0.96251,0.913,1.0,0.0,0.66536,0.68048
20617,-122.32879,40.61821,0.29085,0.99656,0.64667,0.71946,0.73914,0.32646,0.48251,0.58091,0.61496,0.99188,0.19619,0.97501,0.58838,0.57724
20931,-122.31473,40.62208,0.86832,0.0,0.0,0.78803,0.33552,0.48188,0.66339,0.79663,0.06342,0.89972,1.0,0.0,0.57821,0.59221
20932,-122.37144,40.62101,0.3513,0.97438,0.7657,0.9597,0.65729,0.37863,0.6965,0.15105,0.39706,0.67713,0.4433,0.91831,0.57279,0.56062
21011,-121.91777,40.62883,0.12215,0.0,0.65636,0.16792,0.04717,0.83661,0.41737,0.29225,0.44845,0.20712,0.42627,0.81006,0.36309,0.37463
21253,-122.38573,40.62434,0.3513,0.98875,0.78632,0.9597,0.65729,0.37863,0.6965,0.15105,0.39706,0.67713,0.12824,0.903,0.5175,0.49703
21273,-122.3432,40.62515,0.86832,0.0,0.80756,0.78803,0.33552,0.48188,0.66339,0.79663,0.06342,0.89972,0.18057,0.96282,0.43613,0.42642
