name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat
Alexander Valley Community Hall,5512 HIGHWAY 128 GEYSERVILLE CA 95441,False,Locality wide location,False,-122.83106,38.67682
Amarosa Academy,3261 DUTTON AVE SANTA ROSA CA 95407,False,Locality wide location,False,-122.72396,38.39715
Berger Center,6633 OAKMONT DR SANTA ROSA CA 95409,False,Locality wide location,False,-122.60328,38.44071
Bodega Bay Yacht Club,565 SMITH BROTHERS RD BODEGA BAY CA 94923,False,Locality wide location,False,-123.04001,38.32485
Christ Church United Methodist,1717 YULUPA AVE SANTA ROSA CA 95405,False,Locality wide location,False,-122.67149,38.43855
Citrus Fair Building,1 CITRUS FAIR DR CLOVERDALE CA 95425,False,Locality wide location,False,-123.01765,38.80296
Cotati Veterans Memorial Building,8505 PARK AVE COTATI CA 94931,False,Locality wide location,False,-122.70243,38.32249
Del Mar Hall,40600 LEEWARD RD THE SEA RANCH CA 95497,False,Locality wide location,False,-123.50094,38.743
Finnish American Hm Assn,197 W VERANO AVE SONOMA CA 95476,False,Locality wide location,False,-122.4806,38.30385
Forestville Fire District,6554 MIRABEL RD FORESTVILLE CA 95436,False,Locality wide location,False,-122.89547,38.47523
Gold Ridge Fire Department,4500 HESSEL RD SEBASTOPOL CA 95472,False,Locality wide location,False,-122.77869,38.35096
Graton Community Club,8996 GRATON RD GRATON CA 95444,False,Locality wide location,False,-122.86833,38.43666
Guerneville Veterans Memorial Bldg,16255 1ST ST GUERNEVILLE CA 95446,False,Locality wide location,False,-122.99838,38.50111
Hermann Sons Hall,860 WESTERN AVE PETALUMA CA 94952,False,Locality wide location,False,-122.65251,38.23041
Joe Mazzola Local 38 Bldg,3473 SANTA ROSA AVE SANTA ROSA CA 95407,False,Locality wide location,False,-122.7143,38.39248
Luther Burbank Center For The Arts,50 MARK WEST SPRINGS RD SANTA ROSA CA 95403,False,Locality wide location,False,-122.74893,38.49338
Moose Lodge 458,3559 AIRWAY DR SANTA ROSA CA 95403,False,Locality wide location,False,-122.73845,38.47768
Petaluma Community Center,320 N MCDOWELL BLVD PETALUMA CA 94954,False,Locality wide location,False,-122.63013,38.25285
Petaluma Veterans Memorial Bldg,1094 PETALUMA BLVD S PETALUMA CA 94952,False,Locality wide location,False,-122.62359,38.22637
Registrar of Voters Office,435 FISCAL DR SANTA ROSA CA 95403,False,Locality wide location,False,-122.72303,38.46571
Rohnert Park Community Center,5401 SNYDER LN ROHNERT PARK CA 94928,False,Locality wide location,False,-122.68681,38.34481
Rohnert Park Senior Center,6800 HUNTER DR ROHNERT PARK CA 94928,False,Locality wide location,False,-122.70777,38.34501
Roseland Community Center,779 SEBASTOPOL RD SANTA ROSA CA 95407,False,Locality wide location,False,-122.72934,38.43095
SCOE-Headwaters Academy,1355 INDUSTRIAL AVE PETALUMA CA 94952,False,Locality wide location,False,-122.66966,38.26794
Sebastopol Community Cultural Center,390 MORRIS ST SEBASTOPOL CA 95472,False,Locality wide location,False,-122.81993,38.40839
Sonoma County Fairgrounds- Kraft Hall,1350 BENNETT VALLEY RD SANTA ROSA CA 95404,False,Locality wide location,False,-122.70144,38.43239
Sonoma Valley Moose Lodge,20580 BROADWAY SONOMA CA 95476,False,Locality wide location,False,-122.45789,38.27329
Sonoma Veterans Memorial Bldg,126 1ST ST W SONOMA CA 95476,False,Locality wide location,False,-122.45718,38.29834
Villa Chanticleer,900 CHANTICLEER WAY HEALDSBURG CA 95448,False,Locality wide location,False,-122.84948,38.62161
Windsor Civic Center - Council Chambers,9291 OLD REDWOOD HWY WINDSOR CA 95492,False,Locality wide location,False,-122.81572,38.5499
