geoid,countyfp,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth,pop20,areakm,popdens,pollvoter_dens,job_dens,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag
6115040100,115,0.88677,0.88585,0.89828,0.868,5067,8.37891,604.73273,0.04814,0.3295,0.08526,0,0.83061,0,0.11564,0,0.25431,0,0.12201,1,0.01698,1,0.02222,0,0.24403,0,0.00943,1,0.63333,0,0.0153,0,0.0,1,0.00147,1,0.19602,0,0.00273,1,0.00147,1,0.0,1,0.0,1,0.00692,1,0.0,1,0.0021,1,0.07132,0.40472,0
6115040201,115,0.89653,0.89365,0.74503,0.86528,3848,1.87441,2052.91235,0.04223,0.08402,0.04908,1,0.91607,0,0.159,0,0.15786,0,0.08971,1,0.01341,0,0.01879,1,0.3264,0,0.0,1,0.61847,0,0.00138,1,0.0,1,0.0,1,0.31149,0,0.0,1,0.0,1,0.00313,1,0.00301,1,0.00626,1,0.0,1,0.0,1,0.0494,0.21566,0
6115040202,115,0.8811,0.90947,0.90162,0.77604,4384,2.38637,1837.09745,0.05343,0.04164,0.04908,1,0.91607,0,0.159,0,0.15786,0,0.08971,1,0.01341,0,0.01879,1,0.3264,0,0.0,1,0.61847,0,0.00138,1,0.0,1,0.0,1,0.31149,0,0.0,1,0.0,1,0.00313,1,0.00301,1,0.00626,1,0.0,1,0.0,1,0.05601,0.24457,0
6115040301,115,0.89471,0.89012,0.89942,0.8948,3627,2.71623,1335.30683,0.02357,0.02174,0.12263,1,0.86015,0,0.31202,0,0.36056,0,0.07774,1,0.23351,0,0.02813,1,0.24652,0,0.0,1,0.3781,0,0.00272,1,0.00635,1,0.0,1,0.22716,0,0.0,1,0.0,1,0.0,1,0.01875,1,0.0,1,0.0,1,0.0,1,0.04262,0.34826,0
6115040302,115,0.90699,0.89578,0.90315,0.77527,2500,2.89268,864.25092,0.01299,0.05717,0.14594,0,0.83461,0,0.22345,0,0.35693,0,0.1202,1,0.06302,1,0.02922,1,0.45743,0,0.00876,1,0.41819,0,0.0,1,0.0121,1,0.0,1,0.43489,0,0.00292,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.02361,0.28374,0
6115040304,115,0.87877,0.866,0.87874,0.87101,6614,2.51757,2627.1384,0.06774,0.01297,0.09307,0,0.96216,0,0.1115,0,0.04806,0,0.08434,1,0.11063,0,0.08937,0,0.31857,0,0.00861,1,0.40783,0,0.0,1,0.00101,1,0.00962,1,0.26331,0,0.00761,1,0.00749,1,0.00179,1,0.01801,1,0.00604,1,0.0,1,0.0,1,0.07895,0.30339,0
6115040305,115,0.90709,0.89928,0.88531,0.84087,2767,2.5984,1064.88515,0.02992,0.02795,0.09307,0,0.96216,0,0.1115,0,0.04806,0,0.08434,1,0.11063,0,0.08937,0,0.31857,0,0.00861,1,0.40783,0,0.0,1,0.00101,1,0.00962,1,0.26331,0,0.00761,1,0.00749,1,0.00179,1,0.01801,1,0.00604,1,0.0,1,0.0,1,0.03371,0.16948,0
6115040400,115,0.85391,0.85094,0.86606,0.78659,5987,18.59026,322.05043,0.05271,0.05132,0.17584,0,0.84925,0,0.19718,0,0.34402,0,0.13139,1,0.10545,0,0.01951,1,0.45399,0,0.01987,1,0.32904,0,0.01049,1,0.0,1,0.0,1,0.44222,0,0.0,1,0.0,1,0.00497,1,0.0,1,0.0,1,0.0,1,0.0,1,0.05927,0.28297,0
6115040500,115,0.86759,0.905,0.86892,0.94641,4030,2.43807,1652.94963,0.03629,0.03032,0.12032,0,0.8811,0,0.19515,0,0.18707,0,0.0965,1,0.07848,1,0.00247,1,0.43263,0,0.01505,1,0.43806,0,0.0,1,0.0,1,0.0,1,0.43263,0,0.0,1,0.0,1,0.0,1,0.00765,1,0.0,1,0.0,1,0.0,1,0.04893,0.34348,0
6115040600,115,0.86809,0.87135,0.90545,0.85502,6424,4.16441,1542.59552,0.06914,0.04767,0.17942,0,0.95719,0,0.15862,0,0.15896,0,0.10563,1,0.03582,1,0.03067,1,0.42902,0,0.00816,1,0.43913,0,0.01021,1,0.0,1,0.0,1,0.41881,0,0.0,1,0.0,1,0.0,1,0.0001,1,0.00035,1,0.0,1,0.0,1,0.07313,0.24946,0
6115040701,115,0.88069,0.88994,0.87946,0.85526,8324,65.94571,126.22504,0.1293,0.03087,0.06781,0,0.98953,0,0.09033,0,0.07668,0,0.07245,1,0.09367,0,0.0342,0,0.26234,0,0.00832,1,0.53465,0,0.01125,1,0.00202,1,0.00292,1,0.23211,0,0.00367,1,0.00435,1,0.0021,1,0.01852,1,0.00495,1,0.0,1,0.0192,1,0.09247,0.02966,0
6115040702,115,0.89952,0.88863,0.92061,0.88036,6255,30.24152,206.83482,0.06594,0.02174,0.0678,0,0.98953,0,0.09033,0,0.07667,0,0.07245,1,0.09365,0,0.03419,0,0.26231,0,0.00832,1,0.5347,0,0.01125,1,0.00202,1,0.00292,1,0.23208,0,0.00368,1,0.00435,1,0.0021,1,0.01852,1,0.00495,1,0.0,1,0.01919,1,0.06969,0.15884,0
6115040800,115,0.88109,0.89972,0.82954,0.92596,4422,109.52314,40.37503,0.06655,0.07616,0.03446,0,0.9878,0,0.10876,0,0.05595,0,0.09609,1,0.01542,1,0.00162,1,0.1579,0,0.00985,1,0.75093,0,0.00193,1,0.0,1,0.0,1,0.09258,0,0.00942,1,0.00621,1,0.00278,1,0.00612,1,0.00215,1,0.00215,1,3e-05,1,0.07036,0.28804,0
6115040901,115,0.90503,0.88975,0.95299,0.8886,3056,268.13972,11.39704,0.03335,0.06119,0.10125,0,0.98667,0,0.17957,0,0.18702,0,0.10979,1,0.10237,0,0.00906,1,0.1755,0,0.01083,1,0.63266,0,0.00108,1,0.0,1,0.00022,1,0.16927,0,0.0,1,7e-05,1,0.0,1,0.00827,1,0.0046,1,0.00053,1,0.00012,1,0.04069,0.20765,0
6115040902,115,0.93498,0.94163,0.99986,0.94693,2418,93.84312,25.76641,0.00256,0.01735,0.00957,1,0.9999,0,0.05021,1,0.11211,0,0.44983,0,0.07682,1,0.08557,0,0.1977,0,0.00185,1,0.56427,0,1e-05,1,0.0,1,0.01024,1,0.17591,1,1e-05,1,0.00302,1,0.0,1,0.0163,1,0.01327,1,0.0241,1,0.00542,1,0.02339,0.81018,0
6115041001,115,0.82736,0.79879,0.75644,0.85694,3608,277.64164,12.99517,0.09593,0.03781,0.04391,1,0.98449,0,0.14042,0,0.0808,1,0.04686,1,0.02138,1,0.04029,1,0.12894,0,0.00082,1,0.77871,0,0.00466,1,0.00164,1,0.0,1,0.07358,0,0.00932,1,0.00192,1,0.0,1,0.0,1,0.00206,1,0.0,1,0.0,1,0.04918,0.03932,0
6115041002,115,0.86024,0.82959,0.80236,0.84412,3952,197.68319,19.99158,0.09526,0.01954,0.04391,1,0.98449,0,0.14042,0,0.0808,1,0.04686,1,0.02138,1,0.04029,1,0.12894,0,0.00082,1,0.77871,0,0.00466,1,0.00164,1,0.0,1,0.07358,0,0.00932,1,0.00192,1,0.0,1,0.0,1,0.00206,1,0.0,1,0.0,1,0.05525,0.0049,0
6115041101,115,0.90603,0.8593,0.88227,0.85877,3198,481.4353,6.64264,0.04105,0.02046,0.00887,1,0.94018,0,0.19543,0,0.18656,0,0.04003,1,0.0,1,0.03008,1,0.09486,0,0.0097,1,0.79136,0,0.0,1,0.0,1,0.0,1,0.08443,0,0.00801,1,0.0,1,0.0,1,0.01504,1,0.0,1,0.0,1,0.0,1,0.04257,0.06451,0
6115041102,115,0.84989,0.84148,0.86625,0.81974,1512,94.96141,15.92226,0.03391,0.01059,0.00887,1,0.94018,0,0.19543,0,0.18656,0,0.04003,1,0.0,1,0.03008,1,0.09486,0,0.0097,1,0.79136,0,0.0,1,0.0,1,0.0,1,0.08443,0,0.00801,1,0.0,1,0.0,1,0.01504,1,0.0,1,0.0,1,0.0,1,0.01945,0.0,1
